company,website,domain,category,country
Act-On Software,http://www.act-on.com,act-on.com,CRM|Marketing Automation|Software,USA
ACT Teleconferencing Inc.,http://www.acttel.com,acttel.com,Collaboration|Enterprises|Technology,
Acta technology,http://www.acta.com,acta.com,Data Integration|Enterprises|Real Time,USA
Actacell,http://www.actacell.com,actacell.com,Batteries|Clean Technology|Search,USA
Actelis Networks,http://www.actelis.com,actelis.com,Internet|Software|Web Hosting,USA
Actiance,http://www.actiance.com,actiance.com,Software,USA
Actifi,http://actifi.com,actifi.com,Consulting,USA
Actifio,http://www.actifio.com,actifio.com,Enterprise Software|Information Services|Information Technology,USA
Actimagine,http://www.actimagine.com,actimagine.com,Software,FRA
Actimize,http://www.niceactimize.com/,niceactimize.com,Software,
Action,http://www.action.nl,action.nl,E-Commerce,
Action Products International,http://www.apii.com,apii.com,Cloud Computing|Consulting|Search|Software,USA
Action Square,http://www.action2quare.com/,action2quare.com,,
ActionIQ,http://actioniq.co,actioniq.co,Big Data Analytics|Business Intelligence|Enterprise Software|Marketing Automation,USA
ActionRun,http://actionrun.com,actionrun.com,Software,USA
ACTIV Financial Systems,http://www.activfinancial.com,activfinancial.com,Software,USA
Activ Technologies,http://activ-tech.com,activ-tech.com,Software,USA
activ8 Intelligence,http://www.a8i.co.uk,a8i.co.uk,Software,GBR
Activate Hub,http://activatehub.org/,activatehub.org,Business Services|Communities|Events,
"Activation, Inc.",http://www.activationmobile.com,activationmobile.com,Consulting|Games|Motors,USA
Activation Solutions,http://www.activation-solutions.com/,activation-solutions.com,Consulting|Software,USA
Active Circle,http://www.active-circle.com,active-circle.com,Software,FRA
Active Endpoints,http://www.activeendpoints.com,activeendpoints.com,Enterprise Software,USA
Active International,http://activeinternational.com,activeinternational.com,Advertising,USA
Active Junky,http://www.activejunky.com,activejunky.com,Comparison Shopping|Coupons|E-Commerce|Outdoors,USA
Active Location Inc.,http://activelocation.com,activelocation.com,Advertising|Mobile|Real Time,USA
Active Mind Technology,http://www.gamegolf.com,gamegolf.com,Software,USA
Active Navigation,http://www.activenavigation.com/,activenavigation.com,Big Data|Oil & Gas|Software,GBR
Active Scaler,http://activescaler.com/,activescaler.com,Software,USA
Active SONAR .Inc,http://www.active-sonar.co.jp/,active-sonar.co.jp,E-Commerce|Fashion|Online Shopping|Retail,
Active Storage,http://getactivestorage.com/index.php,getactivestorage.com,Enterprise Software,USA
Active Tax & Accounting,http://www.activetaxllc.com/,activetaxllc.com,Consulting,USA
ActiveGrid,http://www.activegrid.com/,activegrid.com,Information Technology|SaaS|Visualization,USA
ACTIVE Network,http://www.activenetwork.com,activenetwork.com,Software,USA
ActiveStrategy,http://www.activestrategy.com,activestrategy.com,Software|Web Development,USA
ActiveTrak,http://gadgettrak.com,gadgettrak.com,Mobile Security|Security|Software,USA
ActiveUSA.com,http://www.active.com/,active.com,,
ActivIdentity,http://www.actividentity.com,actividentity.com,Enterprise Software,USA
Bounts,http://www.bounts.it,bounts.it,,GBR
Activity Rocket,http://www.activityrocket.com,activityrocket.com,Advertising|B2B|Consumer Internet|Internet|Marketplaces,USA
ActivNetworks,http://www.activnetworks.com,activnetworks.com,Enterprise Software,
ActSocial,http://www.actsocial.com,actsocial.com,Advertising|Direct Marketing|Social CRM|Social Media,SGP
Actual Experience,http://www.actual-experience.com,actual-experience.com,Analytics|Information Technology|Software|Supply Chain Management,GBR
Actual Reports,http://actualreports.com,actualreports.com,Developer APIs|Document Management|E-Commerce|Enterprise Software|SaaS|Software,
ActualSun,http://www.actualsun.com,actualsun.com,,USA
ActuatedMedical,http://actuatedmedical.com,actuatedmedical.com,Hardware + Software,USA
Acturis,http://acturis.com,acturis.com,Software,GBR
Actus Interactive Software,http://actus-software.com,actus-software.com,Software,USA
Acuity Systems,http://salesmadeeasy.com,salesmadeeasy.com,Consulting|Recruiting|Training,USA
AcuityAds,http://www.acuityads.com,acuityads.com,Ad Targeting|Advertising,USA
Acumatica,http://www.acumatica.com,acumatica.com,Accounting|Cloud Computing|CRM|Developer Tools|Development Platforms|Enterprise Resource Planning|Enterprise Software|SaaS|Software,USA
Acumen Holdings,http://www.acumenholdings.com,acumenholdings.com,E-Commerce,USA
Acunote,http://www.acunote.com,acunote.com,Analytics|Collaboration|Project Management|Public Relations|Software,USA
Acunu,http://www.acunu.com,acunu.com,Analytics|Big Data|Databases|Software|Storage,GBR
Ad Infuse,http://www.adinfuse.com,adinfuse.com,Advertising|Mobile,USA
Ad.IQ,http://www.adiqglobal.com,adiqglobal.com,Analytics|Customer Service|Lead Management|Mobile,GBR
Ad Knights,http://www.adknights.com,adknights.com,Advertising|Social Media Advertising|Video,USA
Adisn,http://www.adisn.com,adisn.com,Advertising,USA
Ad Summos,http://www.adsummos.com,adsummos.com,Advertising,USA
Ad Tech Media Sales,http://www.adtechmediasales.com,adtechmediasales.com,Advertising|Email Marketing|Software,USA
Ad Venture,http://ad-venture.tv/,ad-venture.tv,Advertising|Television,GBR
Ada's Avenue,http://shop.adas-avenue.eu/,shop.adas-avenue.eu,,
AdAdapted,http://adadapted.com,adadapted.com,Advertising,USA
AdAgility,http://www.AdAgility.com,adagility.com,Marketing Automation|Monetization|Software,USA
Adallom,http://www.adallom.com,adallom.com,Cloud Computing|Enterprises|Security,USA
Adam Aircraft,http://www.adamaircraft.com/,adamaircraft.com,,USA
Adams Floor Decor,http://www.cokerfloor.com,cokerfloor.com,,USA
Adan,http://www.adaninc.com/,adaninc.com,Education|Software,USA
"Adap.tv, now a part of ONE by AOL",http://www.onebyaol.com,onebyaol.com,Advertising|Auctions|Television|Video,USA
Adapt,http://www.adaptplc.com,adaptplc.com,Enterprise Software,GBR
Adaptly,http://adaptly.com,adaptly.com,Advertising,USA
Adapt Technologies,http://www.adapt.com,adapt.com,Advertising,USA
Adapteva,http://www.adapteva.com,adapteva.com,Internet|Mobile|Semiconductors,USA
"adaptifyed, Inc",http://adaptifyed.com,adaptifyed.com,,
Adaptis Solutions,http://www.adaptis-solutions.com,adaptis-solutions.com,Software,GBR
"Adaptive Advertising, Inc.",http://www.ADaptiveAdvertising.biz,adaptiveadvertising.biz,Advertising|Internet Marketing,USA
Adaptive Computing,http://www.adaptivecomputing.com,adaptivecomputing.com,Cloud Management|Enterprise Software,USA
Adaptive Insights,http://www.adaptiveinsights.com/,adaptiveinsights.com,Analytics|Business Analytics|Cloud Data Services|Software,USA
"Adaptive Medias, Inc.",http://www.adaptivem.com,adaptivem.com,Advertising|Displays|Mobile|Video,USA
Adaptive Media,http://www.adaptivemedia.com/,adaptivemedia.com,,USA
Adaptive Payments,http://adaptivepayments.com,adaptivepayments.com,E-Commerce,USA
Adaptive Planning,http://www.adaptiveplanning.com/,adaptiveplanning.com,Business Intelligence|Cloud Computing|Financial Services,USA
Adaptive Technologies,http://www.adaptivetechinc.com,adaptivetechinc.com,Software,USA
AdaptiveWell Technologies,http://www.adaptivewell.com,adaptivewell.com,Big Data|Big Data Analytics|Enterprise Software|Machine Learning|Oil and Gas|Oil & Gas|Optimization|SaaS|Software,USA
Adaptiv.io,http://www.adaptiv.io/,adaptiv.io,Software,USA
Adaptivity,http://adaptivity.com,adaptivity.com,Enterprise Software,USA
Adapx,http://www.adapx.com,adapx.com,Collaboration|Enterprises|Software,USA
ADAR IT,http://www.adarIT.com,adarit.com,Cloud Computing|Software,USA
ADARA,http://www.adara.com,adara.com,Advertising,USA
Adatao,http://adatao.com,adatao.com,Analytics|Big Data,USA
adBidtise,https://www.adbidtise.com/,adbidtise.com,Advertising,USA
AdBira Network,http://Adbira.com,adbira.com,Advertising|Sales and Marketing,
Adbongo,http://www.adbongo.com,adbongo.com,Advertising|Cause Marketing|Enterprises,USA
Adbrain,http://adbrain.com,adbrain.com,Advertising|Enterprise Software|Marketing Automation|Mobile,GBR
adBrite,http://adbrite.com,adbrite.com,Advertising|Auctions|Publishing,USA
Adcade,http://adcade.com,adcade.com,Advertising|Media|Technology,USA
Adcast,http://adca.st,adca.st,Advertising|Facebook Applications|Social Media|Twitter Applications,USA
ADCentricity,http://www.adcentricity.com,adcentricity.com,Advertising|Displays|Location Based Services|Mobile|Mobile Software Tools|News|Sales and Marketing,CAN
Adchemy,http://www.adchemy.com,adchemy.com,Advertising,USA
Adconion Media Group,http://www.adconion.com,adconion.com,Ad Targeting|Advertising|Entertainment,USA
Adconnect,http://adconnect.com/,adconnect.com,,USA
AdCrimson,http://www.adcrimson.com,adcrimson.com,Advertising|Mobile,USA
Adcrowd retargeting,http://www.adcrowd.com,adcrowd.com,Ad Targeting|Advertising,NLD
AddShoppers,http://www.AddShoppers.com,addshoppers.com,Analytics|Big Data|E-Commerce|Marketing Automation|Social Commerce,USA
Addamark Technologies,http://www.addamark.com/,addamark.com,SaaS|Security|Technology,
Addapp,https://addapp.io/,addapp.io,Fitness|Health and Wellness|Health Care|Personal Health|Software,USA
Addepar,http://www.addepar.com,addepar.com,Finance|SaaS,USA
Addictive,http://www.pitchtarget.com,pitchtarget.com,Facebook Applications|Performance Marketing|Social Media,
AddMyBest,http://www.addmybest.com,addmybest.com,E-Commerce,USA
AddonTV,http://www.addon.tv,addon.tv,Advertising,USA
Addoway,http://www.addoway.com,addoway.com,Auctions|E-Commerce|Internet|Marketplaces|Technology|Trusted Networks,USA
AddThis,http://www.addthis.com,addthis.com,Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media,USA
Addvocate,http://addvocate.com,addvocate.com,Enterprise Software,USA
Adea,http://www.adea.com,adea.com,Consulting,USA
aDealio,http://www.adealio.com,adealio.com,Coupons|E-Commerce,USA
AdECN,http://www.adecn.com,adecn.com,Advertising|Sales and Marketing|Software,USA
AdelaVoice,http://www.sharethat.com/,sharethat.com,Software,USA
Adello Inc,http://www.adello.com,adello.com,Advertising|Analytics|Mobile|Real Time,USA
Adelphic,http://www.adelphic.com,adelphic.com,Advertising|Media|Mobile|Optimization,USA
Adenosine Therapeutics,http://www.adenrx.com/,adenrx.com,,USA
ADENTS HTI,http://www.adents.com,adents.com,Software,FRA
Adept Cloud,http://adeptcloud.com,adeptcloud.com,Enterprise Software,USA
AdEspresso,http://adespresso.com,adespresso.com,Advertising|Optimization|SaaS|Software,USA
Adesso Solutions,http://www.adessosolutions.com,adessosolutions.com,Software,USA
AdEx Media,http://www.adex.com,adex.com,Advertising,USA
AdexLink,http://www.adexlink.com,adexlink.com,Advertising|Android|iOS,USA
AdExtent,http://www.adextent.com,adextent.com,Ad Targeting|Advertising|Application Platforms,USA
Adeze,http://www.adeze.com,adeze.com,Advertising,USA
Adfaces,http://www.adfaces.net,adfaces.net,Advertising|Media|Outdoors,GBR
Adfiki,http://www.adfiki.com/,adfiki.com,,
Global Ad Source,http://www.globaladsource.com,globaladsource.com,Advertising,CAN
adflyer,http://www.adflyer.co.uk,adflyer.co.uk,Advertising|Auctions|Business Services|Cars|Classifieds|Computers|Discounts|E-Commerce|Home & Garden|Local|Marketplaces|Property Management|Wholesale,GBR
"Adfora, Inc.",http://www.adfora.com,adfora.com,Advertising|Classifieds|E-Commerce,USA
adFreeq,http://www.adFreeq.com,adfreeq.com,Advertising|Classifieds|Cloud Computing|Real Time,USA
AdGent Digital,http://www.adgentdigital.com,adgentdigital.com,Advertising,USA
AdGibbon,http://www.adgibbon.com,adgibbon.com,Ad Targeting|Advertising|Analytics|Media|Mobile Advertising,DEU
AdGrok,http://adgrok.com,adgrok.com,Advertising,USA
AdHack,http://adhack.com,adhack.com,Advertising|All Markets|Audio|Creative|Design|Image Recognition|Video,CAN
AdHawk,http://www.tryadhawk.com,tryadhawk.com,Analytics|Mobile|Technology,USA
Adherence Compliance,http://www.adherence-corp.com,adherence-corp.com,Financial Services|Information Technology|Software,USA
Adhesion Wealth Advisor Solutions,http://adhesionwealth.com,adhesionwealth.com,Software,USA
Adhesive.co,http://adhesive.co,adhesive.co,Advertising,USA
Adient Medical,http://www.adientmedical.com/,adientmedical.com,,USA
Adify,http://www.adify.com,adify.com,Advertising,USA
Adikteev,http://adikteev.com,adikteev.com,Ad Targeting|Advertising|Advertising Platforms,FRA
Adility,http://www.adility.com,adility.com,Advertising|Coupons|Local Advertising|Local Based Services|Network Security,USA
Adim8,http://www.adim8.com,adim8.com,Advertising,USA
Adinch Inc,http://www.adinch.com,adinch.com,Advertising|Mobile,
ADINCON,http://www.adincon.com,adincon.com,Advertising|Internet|Publishing,DEU
ResponseTap,http://www.responsetap.com,responsetap.com,Advertising|Enterprise Software|SaaS,GBR
Adiply,http://adiply.com,adiply.com,Advertising|Advertising Platforms|Mobile Advertising,USA
Aditazz,http://www.aditazz.com,aditazz.com,Big Data|New Technologies|Predictive Analytics|Semiconductors|Social Innovation,USA
Aditium,http://aditium.com,aditium.com,Business Development|Technology,FRA
Aditive,http://www.aditive.com,aditive.com,Advertising|CRM|Facebook Applications|Media|Social Media|Twitter Applications,USA
ADITU SAS,http://www.aditu.fr,aditu.fr,Analytics,FRA
Admedo Ltd,http://www.admedo.com,admedo.com,Advertising|Displays|Sales and Marketing,GBR
Adjacent Applications,http://www.adjacentapps.com,adjacentapps.com,DOD/Military|E-Commerce|Internet|Marketplaces|Mobile,USA
Adjudica,http://www.healthsight.com,healthsight.com,Enterprise Software|Facebook Applications|Medical|Software|Technology|Weddings,USA
Adjug,http://www.adjug.com,adjug.com,Advertising|Internet|Marketplaces|Publishing,GBR
Adjust,http://www.adjust.com,adjust.com,Analytics|Apps|Mobile|Tracking,USA
Adknowledge,http://adknowledge.com,adknowledge.com,Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video,USA
Adku,http://www.adku.com,adku.com,Software,USA
AdLemons,http://adlemons.com,adlemons.com,Advertising|Social Media Marketing,ESP
AdLib Mediation LLC,http://adlibmediation.com,adlibmediation.com,Advertising|Apps|Mobile,
AdLyft,http://www.adlyft.com/,adlyft.com,Advertising|Bridging Online and Offline|Mobile Advertising,
ADman Media,http://www.admanmedia.com,admanmedia.com,Advertising|Analytics|Direct Marketing|Internet Marketing|Social Commerce|Social Media|Video,ESP
ADmantX,http://www.admantx.com,admantx.com,Advertising|Auctions|Creative,USA
Admaxim,http://admaxim.com/,admaxim.com,Advertising,USA
Admeld,http://www.admeld.com,admeld.com,Advertising|Auctions|Software,USA
Admetric,http://www.getadmetric.com,getadmetric.com,Advertising|Digital Signage|Retail,CAN
